Persentase air bersih PDAM,Persentase petani membeli pupuk,Persentase petani membeli pestisida,"Persentase bangunan rumah bukan ""rumah kecil""",Desa
0.7666666666666667,0.6666666666666666,0.1111111111111111,0.7928057553956834,Balauring
0.0,0.0,0.07407407407407407,0.41726618705035967,Benihading
0.0,0.5,0.8333333333333335,0.5066803699897224,Bour
0.0,0.0,0.0,0.6258992805755393,Dikesare
1.0,0.0,0.0,0.7928057553956834,Duawutun
0.16666666666666666,0.0,0.0,0.5841726618705034,Dulitukan
0.0,0.8571428571428571,0.5714285714285714,0.6676258992805755,Hoelea I
0.0,0.07142857142857142,0.5357142857142857,0.7510791366906474,Ile Kimok
0.0,1.0,1.0,0.6676258992805755,Kalikur
1.0,0.0,0.3333333333333333,0.6797400789046182,Katakeja
1.0,0.0,0.0,0.5841726618705034,Labalimut
1.0,0.0,0.0,0.7201206776514271,Lamatuka
1.0,0.0,0.5714285714285714,0.7928057553956834,Laranwutun
1.0,0.0,0.0,0.33381294964028774,Lolong
0.03333333333333333,0.6875,0.875,0.6258992805755393,Mahal
0.0,0.07142857142857142,0.2857142857142857,0.8345323741007195,Merdeka
1.0,0.043478260869565216,0.5217391304347826,0.5546587120547464,Muruona
1.0,0.0,0.3076923076923077,0.5841726618705034,Nubamado
0.9354838709677421,0.16666666666666666,0.08333333333333333,0.5989788814110001,Pada
0.0,0.047619047619047616,0.38095238095238093,0.5841726618705034,Paubokol
0.0,0.125,0.0,0.8345323741007195,Puor
1.0,0.0,0.3636363636363637,0.7510791366906474,Riangbao
0.0,0.0,0.0,0.6258992805755393,Tagawiti
0.0,0.05,0.5,0.9999999999999999,Todanara
1.0,0.0,0.0,0.0,Tubuk Rajan
0.0,0.6842105263157895,0.2631578947368421,0.4589928057553957,Tubungwalang
0.06666666666666667,0.06666666666666667,0.8666666666666667,0.7510791366906474,Waienga
0.9333333333333331,0.0,0.0,0.7510791366906474,Watodiri
0.9666666666666669,0.0,0.35714285714285715,0.5007194244604315,Wuakerong
